79,1946-015,voted with majority or plurality
78,1946-015,no vote
85,1946-015,voted with majority or plurality
82,1946-015,voted with majority or plurality
87,1946-015,voted with majority or plurality
86,1946-016,voted with majority or plurality
84,1946-016,voted with majority or plurality
81,1946-016,special concurrence
80,1946-016,voted with majority or plurality
79,1946-016,voted with majority or plurality
78,1946-016,voted with majority or plurality
85,1946-016,voted with majority or plurality
82,1946-016,voted with majority or plurality
87,1946-016,voted with majority or plurality
86,1946-017,voted with majority or plurality
84,1946-017,voted with majority or plurality
81,1946-017,dissent
80,1946-017,voted with majority or plurality
79,1946-017,voted with majority or plurality
78,1946-017,dissent
85,1946-017,special concurrence
82,1946-017,dissent
87,1946-017,voted with majority or plurality
86,1946-018,voted with majority or plurality
84,1946-018,voted with majority or plurality
81,1946-018,special concurrence
80,1946-018,voted with majority or plurality
79,1946-018,voted with majority or plurality
78,1946-018,voted with majority or plurality
85,1946-018,voted with majority or plurality
82,1946-018,voted with majority or plurality
87,1946-018,voted with majority or plurality
86,1946-019,voted with majority or plurality
84,1946-019,voted with majority or plurality
81,1946-019,voted with majority or plurality
80,1946-019,voted with majority or plurality
79,1946-019,voted with majority or plurality
78,1946-019,dissent
85,1946-019,dissent
82,1946-019,dissent
87,1946-019,voted with majority or plurality
86,1946-020,voted with majority or plurality
84,1946-020,voted with majority or plurality
81,1946-020,voted with majority or plurality
80,1946-020,voted with majority or plurality
79,1946-020,voted with majority or plurality
78,1946-020,voted with majority or plurality
85,1946-020,voted with majority or plurality
82,1946-020,voted with majority or plurality
87,1946-020,voted with majority or plurality
86,1946-021,voted with majority or plurality
84,1946-021,voted with majority or plurality
81,1946-021,voted with majority or plurality
80,1946-021,voted with majority or plurality
79,1946-021,voted with majority or plurality
78,1946-021,voted with majority or plurality
85,1946-021,voted with majority or plurality
82,1946-021,voted with majority or plurality
87,1946-021,voted with majority or plurality
86,1946-022,voted with majority or plurality
84,1946-022,dissent
81,1946-022,voted with majority or plurality
80,1946-022,special concurrence
79,1946-022,voted with majority or plurality
78,1946-022,voted with majority or plurality
85,1946-022,voted with majority or plurality
82,1946-022,voted with majority or plurality
87,1946-022,voted with majority or plurality
86,1946-023,voted with majority or plurality
84,1946-023,voted with majority or plurality
